Cena,Kaucja,Powierzchnia,Liczba pokoi,Rodzaj zabudowy,Piętro,Okna,Ogrzewanie,Stan wykończenia,φ,λ,Czynsz - dodatkowo,Liczba pięter,Materiał budynku,Rok budowy
2600,,32.4,1,kamienica,3,plastikowe,miejskie,do zamieszkania,52.2330149,21.0238717,,3,cegła,1936
6000,,73.2,2,,3,,,do zamieszkania,52.2448229,21.0161556,,5,cegła,2008
3500,,43,2,,3,,,,52.23362,20.95361,,12,,
2500,,35,2,apartamentowiec,3,,,,52.2261959,20.95607758,,6,,2019
4000,,56,2,apartamentowiec,1,,,,52.2036645,20.9957289,,1,,2008
4500,,63,3,kamienica,2,,,,52.2548476,21.00548091,,3,,
6900,,80,3,apartamentowiec,1,,,,52.2342247,21.0157185,,8,,2010
2900,,45,2,,6,,,,52.235262,20.93267482,,7,,1960
7000,,58,2,apartamentowiec,> 10,,,,52.2343714,20.9994788,,44,,2014
4000,,51.7,2,apartamentowiec,5,,,,52.2233602,21.0186264,,7,,
4500,,66,2,apartamentowiec,6,,,,52.2530519,20.993076,,8,cegła,2002
7500,,103,3,,1,,,,52.2008458,21.0278606,,7,,
3950,,47.7,2,apartamentowiec,3,,,,52.2360398,21.0054291,,14,,2009
6500,,65,2,,2,,,,52.2353016,21.0205557,,,,
12000,,180,4,,3,,,do zamieszkania,52.1716163,21.0876575,,3,cegła,2013
5900,,100,4,,7,,,,52.2545234,20.9936627,,8,,2010
3500,,46,2,kamienica,3,,,,52.2380329,21.010053,,,,1938
10500,,100,3,apartamentowiec,> 10,,,,52.237469,21.00172,,11,,2010
3500,,78,3,apartamentowiec,2,,,,52.166275,21.0123639,,12,,
5000,,50,2,kamienica,2,,,,52.2327854,21.0166573,,,,
4500,,57,3,,2,,,,52.217738,21.0198569,,6,,1952
4500,,37,2,kamienica,4,,,,52.22897,21.04791,,7,,1912
7500,,95,3,kamienica,2,,,,52.2322184,21.0135202,,5,,1890
4000,,40,2,apartamentowiec,7,,,,52.2467494,20.9931038,,10,,2019
5000,,114,4,apartamentowiec,5,,,,52.2131516,21.06080939,,5,,2019
2500,,45,2,apartamentowiec,5,,,,52.2258368,20.94964044,,6,,
2900,,35,2,apartamentowiec,8,,,,52.2442265,20.9827532,,8,,2019
2700,,46,2,,4,,,,52.2355498,21.0088619,,6,,
8000,,130,4,kamienica,parter,,,,52.2185593,20.9892451,,5,,1926
3900,,42.53,2,kamienica,4,,,,52.22830715,20.99566122,,4,,1912
3600,,41,2,,5,,,,52.2206828,21.0151826,,9,,1954
2700,,45,2,blok,3,,,,52.2493966,21.0703954,,5,,2008
4000,,55,2,apartamentowiec,2,,,,52.23198595,20.97907346,,11,,
3500,,56,2,apartamentowiec,5,,,,52.2298614,21.0771374,,5,,
3500,,75,3,,1,,,,52.22798345,21.10874782,,4,,
5800,,80,3,apartamentowiec,8,,,,52.2507936,20.986024,,11,,2000
6000,,78.84,3,apartamentowiec,> 10,,,,52.2542779,20.993851,,17,,2012
3000,,42,2,apartamentowiec,1,,,,52.24635,20.90441,,8,,2019
4050,,50,3,kamienica,3,,,,52.24476525,20.99775728,,3,,1950
9000,,160,4,apartamentowiec,6,,,,52.19352015,21.01045409,,6,,2001
3500,,50,2,apartamentowiec,4,,,,52.251776,21.0365346,,7,,
4300,,50,2,apartamentowiec,6,,,,52.22429635,21.03971738,,7,,2010
4400,,61,3,apartamentowiec,7,,,,52.19592,21.01403,,7,,
9500,,220,6,apartamentowiec,5,,,,52.26883,20.97906,,,,
9000,,153,5,apartamentowiec,1,,,,52.1941317,20.98777819,,4,,2010
2600,,37,2,blok,> 10,,,,52.234627,20.9559496,,15,,2019
8000,,155,5,apartamentowiec,3,,,,52.20549005,20.99802355,,6,,
10000,,140,5,apartamentowiec,parter,,,,52.1844018,21.03189257,,2,,2011
10000,,100,3,apartamentowiec,8,,,,52.2337751,20.9853181,,14,,2019
4990,,103,4,,> 10,,,,52.2466663,21.085435,,15,,2009
5200,,65,2,apartamentowiec,4,,,,52.24223065,21.02653697,,5,,
4100,,54,2,apartamentowiec,8,,,,52.2356955,20.9766731,,8,,2018
10000,,102,3,,9,,,,52.237469,21.00172,,11,,2010
15000,,145,4,apartamentowiec,2,,,,52.2006348,21.0416593,,4,,2001
10000,,131,4,kamienica,2,,,,52.22475455,21.02055788,,5,,1925
2400,2400,50,2,apartamentowiec,5,plastikowe,miejskie,do zamieszkania,52.2693986,21.051579,520,6,cegła,2019
1550,1800,25.5,1,,parter,plastikowe,miejskie,do zamieszkania,52.24471505630916,21.081538723525995,250,4,cegła,
11000,,64,2,,> 10,,,,52.231135,21.00246,,52,,2017
7500,7500,120,4,kamienica,5,drewniane,,,,,,5,,1935
9000,9000,80,2,apartamentowiec,4,,,,52.2416,21.02746,,5,,2012
12000,,200,4,,1,,,,52.171507,21.08751,,2,,2000
10500,,165,3,apartamentowiec,1,,,,52.199663,21.0416,,4,,2001
4800,,76.44,4,apartamentowiec,7,,,,52.168439,20.99429,,10,,2013
2600,,40,2,blok,> 10,,miejskie,do zamieszkania,,,,15,,
9500,,146,3,apartamentowiec,7,,,,52.237583,21.00289,,11,,2001
10000,,154,4,apartamentowiec,2,,,,,,,2,,
10000,,98.2,3,apartamentowiec,> 10,,,,52.237469,21.00171,,11,,2009
8500,,127.5,3,apartamentowiec,7,,,,52.237065,21.00235,,9,,2007
12000,,164,4,apartamentowiec,4,,,,52.191316,21.0539,,5,,2000
12000,,175,4,apartamentowiec,7,,,,52.237243,20.99987,,10,,2004
5900,,100,3,apartamentowiec,6,,miejskie,,52.18403,21.02542,,9,,2007
6200,,60,2,apartamentowiec,5,,miejskie,,52.22939,20.99635,,8,,2018
22000,,131,3,blok,> 10,,miejskie,,52.23113,21.00247,,54,,2017
1750,,35,1,blok,1,plastikowe,miejskie,do zamieszkania,52.32233347234296,20.96001335449219,,8,,2006
2000,2200,38,2,blok,parter,plastikowe,miejskie,do zamieszkania,52.1352291044,21.065254719848625,,,cegła,2001
20000,20000,140,3,apartamentowiec,> 10,drewniane,miejskie,,52.2310961,21.0034582,,52,cegła,2017
8990,,64.5,2,,> 10,,inne,,52.231172,21.0038329,,52,inne,2017
2000,2000,57,2,blok,1,plastikowe,miejskie,do zamieszkania,52.260786309582045,20.897753204498812,,2,cegła,1958
1550,1550,2,1,kamienica,parter,plastikowe,miejskie,do zamieszkania,52.284048159504636,20.945624320654293,280,3,cegła,1960
2999,3000,70,3,,3,plastikowe,kotłownia,do zamieszkania,52.1312814,21.0658302,1,3,cegła,2004
24000,,160,4,,> 10,aluminiowe,miejskie,,52.2317447,20.9961082,,44,inne,
2600,,47,2,apartamentowiec,2,,miejskie,do zamieszkania,52.143971,21.0577963,,9,cegła,2002
8000,,57,2,,8,,miejskie,,52.2317447,20.9961082,,44,inne,2014
30000,,200,5,apartamentowiec,> 10,,miejskie,,52.2317447,20.9961082,,41,inne,2014
12500,12500,77,2,,> 10,aluminiowe,miejskie,,52.2317447,20.9961082,,44,inne,2014
3500,,77,3,,8,,miejskie,,52.2317447,20.9961082,,44,inne,2014
13500,,77,2,,> 10,drewniane,miejskie,,52.2317447,20.9961082,,44,cegła,2014
3500,3500,71,2,kamienica,3,,,,,,,5,,
3200,5500,50,2,apartamentowiec,4,plastikowe,miejskie,do zamieszkania,,,500,11,cegła,2018
3000,5000,61.4,2,blok,6,plastikowe,miejskie,do zamieszkania,52.23205624169475,20.966488577775483,,12,wielka płyta,1998
1900,2400,42,2,blok,2,drewniane,miejskie,do zamieszkania,,,500,,cegła,2017
1950,1950,57,2,blok,3,drewniane,kotłownia,do zamieszkania,52.2334959,21.0846788,,3,pustak,2002
2000,,68,2,,2,,,,,,,,,
2100,2000,32,2,apartamentowiec,parter,drewniane,miejskie,do zamieszkania,52.257000505035364,20.97221679632568,300,6,beton komórkowy,2015
2400,2400,46,3,blok,4,plastikowe,miejskie,do zamieszkania,52.23705136,21.0910223,,4,,
10000,10000,100,3,apartamentowiec,8,drewniane,miejskie,,52.2349979,20.9923713,,,,
12000,24000,104,4,,5,drewniane,miejskie,,52.2349979,20.9923713,,,,2018
30000,,196,5,apartamentowiec,> 10,,miejskie,,52.2317447,20.9961082,,41,inne,2014
19990,,135,3,apartamentowiec,> 10,,miejskie,,52.2317447,20.9961082,,,inne,
22000,48000,130,3,apartamentowiec,> 10,,miejskie,do zamieszkania,52.231172,21.0038329,,54,beton,2017
9000,,63.5,2,,> 10,,inne,,52.231172,21.0038329,,54,inne,2017
8990,,63,2,,> 10,,inne,,52.231172,21.0038329,,52,inne,2017
4700,5000,51,2,kamienica,2,drewniane,miejskie,do zamieszkania,,,,5,cegła,1880
2350,,46.5,2,blok,8,plastikowe,miejskie,do zamieszkania,52.248103,20.98658755,,9,,1966
13000,,116,3,kamienica,7,,gazowe,do zamieszkania,52.2241609,21.021072,,7,,2014
