Cena,Kaucja,Powierzchnia,Liczba pokoi,Rodzaj zabudowy,Piętro,Okna,Ogrzewanie,Stan wykończenia,φ,λ,Czynsz - dodatkowo,Liczba pięter,Materiał budynku,Rok budowy,Czas dojazdu do centrum
9500,,146.0,3,apartamentowiec,7,,,,52.237583,21.00289,,11.0,,2001.0,13.0
10000,,154.0,4,apartamentowiec,2,,,,,,,2.0,,,
10000,,98.2,3,apartamentowiec,> 10,,,,52.237469,21.00171,,11.0,,2009.0,14.433333333333334
8500,,127.5,3,apartamentowiec,7,,,,52.237065,21.00235,,9.0,,2007.0,
12000,,164.0,4,apartamentowiec,4,,,,52.191316,21.0539,,5.0,,2000.0,36.0
12000,,175.0,4,apartamentowiec,7,,,,52.237243,20.99987,,10.0,,2004.0,14.0
5900,,100.0,3,apartamentowiec,6,,miejskie,,52.18403,21.02542,,9.0,,2007.0,29.0
6200,,60.0,2,apartamentowiec,5,,miejskie,,52.22939,20.99635,,8.0,,2018.0,14.0
22000,,131.0,3,blok,> 10,,miejskie,,52.23113,21.002470000000002,,54.0,,2017.0,4.1
1750,,35.0,1,blok,1,plastikowe,miejskie,do zamieszkania,52.32233347234296,20.960013354492194,,8.0,,2006.0,52.0
2000,2200.0,38.0,2,blok,parter,plastikowe,miejskie,do zamieszkania,52.1352291044,21.065254719848625,,,cegła,2001.0,47.0
20000,20000.0,140.0,3,apartamentowiec,> 10,drewniane,miejskie,,52.2310961,21.0034582,,52.0,cegła,2017.0,3.0833333333333335
8990,,64.5,2,,> 10,,inne,,52.231171999999994,21.0038329,,52.0,inne,2017.0,2.45
2000,2000.0,57.0,2,blok,1,plastikowe,miejskie,do zamieszkania,52.260786309582045,20.89775320449881,,2.0,cegła,1958.0,43.0
1550,1550.0,2.0,1,kamienica,parter,plastikowe,miejskie,do zamieszkania,52.28404815950464,20.945624320654293,280.0,3.0,cegła,1960.0,30.0
2999,3000.0,70.0,3,,3,plastikowe,kotłownia,do zamieszkania,52.1312814,21.0658302,1.0,3.0,cegła,2004.0,34.0
