Cena,Powierzchnia,Liczba pokoi,Rynek,Rodzaj zabudowy,Piętro,Liczba pięter,Materiał budynku,Okna,Rok budowy,Stan wykończenia,Czynsz,Forma własności,φ,λ,Ogrzewanie,Czas dojazdu do centrum
850000.0,68.0,3,pierwotny,apartamentowiec,5,5.0,cegła,plastikowe,2019.0,do zamieszkania,,pełna własność,,,miejskie,
1079520.0,83.04,3,wtórny,,2,4.0,,,2009.0,,,pełna własność,52.16602,21.074070000000003,,42.0
850000.0,79.8,3,wtórny,,4,4.0,,,2009.0,,,pełna własność,52.1837,21.075960000000002,,43.0
1200000.0,160.0,3,wtórny,,parter,2.0,,,,,,pełna własność,52.17969,21.07019,,40.0
1194000.0,75.0,3,wtórny,,4,4.0,,,2011.0,,,pełna własność,52.15795,21.06622,,47.0
1100000.0,89.33,4,wtórny,,4,4.0,,,2018.0,,,pełna własność,52.15385,21.07193,,51.0
960000.0,115.0,3,wtórny,,1,3.0,,,1994.0,,,pełna własność,52.176829999999995,21.039820000000002,,33.0
1125000.0,104.57,4,wtórny,,2,4.0,,,2018.0,,,pełna własność,52.159859999999995,21.07617,,44.0
825000.0,89.41,3,wtórny,apartamentowiec,1,4.0,,,2006.0,,,,52.16087,21.07842,miejskie,46.0
735000.0,65.0,2,wtórny,,2,5.0,,,2013.0,,,pełna własność,52.17511,21.06566,,38.0
1150000.0,109.6,3,wtórny,,1,4.0,,,2007.0,,,pełna własność,52.16561,21.07674,,46.0
929000.0,84.68,3,wtórny,,parter,4.0,,,2009.0,,,,52.16133,21.072039999999998,,51.0
1065000.0,91.0,3,wtórny,,parter,4.0,,,2010.0,,,pełna własność,52.15529,21.07131,,46.0
998000.0,84.0,3,wtórny,,3,4.0,,,2009.0,,,pełna własność,52.172290000000004,21.05193,,41.0
890000.0,77.7,3,wtórny,,3,4.0,inne,,2013.0,,,pełna własność,52.16081,21.07541,miejskie,43.0
790000.0,53.6,2,wtórny,,parter,4.0,,,1965.0,,,,,,,
979000.0,93.92,2,wtórny,,parter,2.0,,,2012.0,,,,52.17131,21.11508,,64.0
930000.0,85.23,3,wtórny,blok,parter,4.0,cegła,,2008.0,,,pełna własność,52.15745,21.08237,miejskie,42.0
1200000.0,101.42,3,wtórny,,2,4.0,,,2014.0,,,,,,,
1200000.0,118.0,4,wtórny,,2,3.0,cegła,,2009.0,,,,52.1641,21.07314,miejskie,42.0
590000.0,60.5,2,wtórny,kamienica,1,4.0,cegła,plastikowe,1937.0,do zamieszkania,460 zł,pełna własność,52.2449097,21.088777800000003,gazowe,34.0
480000.0,50.5,2,wtórny,blok,parter,6.0,cegła,plastikowe,1960.0,do zamieszkania,550 zł,pełna własność,52.242155058650035,21.0734476194782,miejskie,29.0
464000.0,57.0,3,pierwotny,apartamentowiec,parter,2.0,,plastikowe,2019.0,do wykończenia,450 zł,pełna własność,,,miejskie,
330000.0,39.0,2,pierwotny,apartamentowiec,parter,2.0,silikat,plastikowe,2020.0,do wykończenia,300 zł,pełna własność,,,miejskie,
666000.0,54.5,2,wtórny,blok,7,9.0,cegła,plastikowe,2008.0,do zamieszkania,550 zł,pełna własność,52.18640186588184,21.062479959277344,miejskie,36.0
235000.0,26.0,1,pierwotny,apartamentowiec,2,3.0,silikat,plastikowe,2019.0,do wykończenia,200 zł,pełna własność,,,miejskie,
